Player,Team,Nation,Position,Actual_Transfer_Value_M,Predicted_Transfer_Value_M
Jacob Greaves,Ipswich Town,ENG,Defender,25.1,25.71
Kenny Tete,Fulham,NED,Defender,14.0,25.46
Mateo Kovačić,Manchester City,CRO,Midfielder,25.3,25.3
Jean-Clair Todibo,West Ham,FRA,Defender,36.0,25.3
Morato,Nott'ham Forest,BRA,Defender,20.0,25.3
Rayan Aït-Nouri,Wolves,ALG,Defender,45.0,25.23
Joe Gomez,Liverpool,ENG,Defender,25.3,25.2
Fabio Carvalho,Brentford,POR,Forward,20.6,24.96
Danilo,Nott'ham Forest,BRA,Midfielder,36.9,24.95
Axel Disasi,Aston Villa,FRA,Defender,27.5,24.93
Cameron Archer,Southampton,ENG,Forward,18.6,24.9
Robert Sánchez,Chelsea,ESP,Goalkeeper,24.9,24.9
Jarell Quansah,Liverpool,ENG,Defender,26.2,24.83
Jefferson Lerma,Crystal Palace,COL,Midfielder,13.6,24.48
Callum Hudson-Odoi,Nott'ham Forest,ENG,Forward,30.2,24.46
Tyler Adams,Bournemouth,USA,Midfielder,24.4,24.4
Keane Lewis-Potter,Brentford,ENG,Defender,27.1,24.39
Alisson,Liverpool,BRA,Goalkeeper,24.1,24.1
Andreas Pereira,Fulham,BRA,Midfielder,19.0,23.96
Will Hughes,Crystal Palace,ENG,Midfielder,11.1,23.84
Leif Davis,Ipswich Town,ENG,Defender,28.2,23.76
Lewis Cook,Bournemouth,ENG,Midfielder,19.3,23.76
Matty Cash,Aston Villa,POL,Defender,32.9,23.72
Neco Williams,Nott'ham Forest,WAL,Defender,23.4,23.4
Yves Bissouma,Tottenham,MLI,Midfielder,29.8,23.24
Kostas Tsimikas,Liverpool,GRE,Defender,23.6,23.21
Tomáš Souček,West Ham,CZE,Midfielder,23.2,23.2
John Stones,Manchester City,ENG,Defender,29.7,23.2
Wilfred Ndidi,Leicester City,NGA,Midfielder,20.3,22.92
Alex Iwobi,Fulham,NGA,Forward,30.3,22.84
Calvin Bassey,Fulham,NGA,Defender,29.9,22.75
Dean Henderson,Crystal Palace,ENG,Goalkeeper,22.7,22.7
Jordan Pickford,Everton,ENG,Goalkeeper,22.6,22.6
Kepa Arrizabalaga,Bournemouth,ESP,Goalkeeper,12.0,22.4
Raheem Sterling,Arsenal,ENG,Forward,17.5,22.27
Timothy Castagne,Fulham,BEL,Defender,17.4,22.02
Paul Onuachu,Southampton,NGA,Forward,12.7,22.0
James Ward-Prowse,West Ham,ENG,Midfielder,11.2,21.95
Jota Silva,Nott'ham Forest,POR,Forward,17.4,21.7
Kristoffer Ajer,Brentford,NOR,Defender,21.5,21.61
Caoimhín Kelleher,Liverpool,IRL,Goalkeeper,20.9,20.9
Jake O'Brien,Everton,IRL,Defender,19.7,20.77
Tosin Adarabioyo,Chelsea,ENG,Defender,24.3,20.74
Toti Gomes,Wolves,POR,Defender,18.6,20.61
Harry Wilson,Fulham,WAL,Forward,14.5,20.44
Wout Faes,Leicester City,BEL,Defender,25.0,20.38
José Sá,Wolves,POR,Goalkeeper,8.5,20.38
Thiago,Brentford,BRA,Forward,25.9,20.34
Álex Moreno,Nott'ham Forest,ESP,Defender,11.0,20.27
Ryan Yates,Nott'ham Forest,ENG,Midfielder,18.3,20.16
Antonín Kinský,Tottenham,CZE,Goalkeeper,20.0,20.0
Emmanuel Agbadou,Wolves,CIV,Defender,18.0,19.84
Caleb Okoli,Leicester City,ITA,Defender,16.7,19.82
Mads Hermansen,Leicester City,DEN,Goalkeeper,19.8,19.8
Eddie Nketiah,Crystal Palace,ENG,Forward,24.8,19.72
Lesley Ugochukwu,Southampton,FRA,Midfielder,27.0,19.59
Konstantinos Mavropanos,West Ham,GRE,Defender,19.1,19.49
Marcos Senesi,Bournemouth,ARG,Defender,20.4,19.26
Matt O'Riley,Brighton,DEN,Midfielder,25.6,19.11
Ederson,Manchester City,BRA,Goalkeeper,19.1,19.1
Kamaldeen Sulemana,Southampton,GHA,Forward,18.5,18.88
Jack Clarke,Ipswich Town,ENG,Forward,19.4,18.71
Aaron Ramsdale,Southampton,ENG,Goalkeeper,18.7,18.7
Harry Maguire,Manchester Utd,ENG,Defender,13.7,18.69
Kyle Walker-Peters,Southampton,ENG,Defender,16.6,18.55
Issa Diop,Fulham,FRA,Defender,17.9,18.54
Marshall Munetsi,Wolves,ZIM,Midfielder,18.3,18.3
Niclas Füllkrug,West Ham,GER,Forward,13.4,18.22
Jesper Lindstrøm,Everton,DEN,Forward,24.4,18.05
Abdoulaye Doucouré,Everton,MLI,Midfielder,5.8,18.0
Jack Taylor,Ipswich Town,IRL,Midfielder,3.8,17.58
Emiliano Martínez,Aston Villa,ARG,Goalkeeper,17.5,17.5
Jorginho,Arsenal,ITA,Midfielder,5.3,17.47
James Tarkowski,Everton,ENG,Defender,11.8,17.38
Alphonse Areola,West Ham,FRA,Goalkeeper,11.8,17.22
Albert Grønbaek,Southampton,DEN,Forward,16.6,17.02
James Mcatee,Manchester City,ENG,Midfielder,19.8,17.02
Emerson Palmieri,West Ham,ITA,Defender,12.6,17.0
Tyrone Mings,Aston Villa,ENG,Defender,5.8,16.97
James Justin,Leicester City,ENG,Defender,17.0,16.88
Julian Araujo,Bournemouth,MEX,Defender,14.3,16.79
Luke Woolfenden,Ipswich Town,ENG,Defender,2.0,16.62
Sammie Szmodics,Ipswich Town,IRL,Forward,14.1,16.16
Enes Ünal,Bournemouth,TUR,Forward,16.4,16.13
Sergio Reguilón,Tottenham,ESP,Defender,5.6,15.92
Marco Asensio,Aston Villa,ESP,Midfielder,19.6,15.86
Fabian Schär,Newcastle Utd,SUI,Defender,11.0,15.84
Lamare Bogarde,Aston Villa,NED,Defender,6.0,15.77
Yukinari Sugawara,Southampton,JPN,Defender,15.7,15.7
Armando Broja,Everton,ALB,Forward,18.6,15.52
Luke Thomas,Leicester City,ENG,Defender,7.8,15.49
Andrés García,Aston Villa,ESP,Defender,10.4,15.34
Victor Lindelöf,Manchester Utd,SWE,Defender,13.5,15.29
Thomas Partey,Arsenal,GHA,Midfielder,15.2,15.2
James Hill,Bournemouth,ENG,Defender,2.1,15.13
Mats Wieffer,Brighton,NED,Midfielder,16.8,14.8
Christian Eriksen,Manchester Utd,DEN,Midfielder,4.2,14.76
Luke Shaw,Manchester Utd,ENG,Defender,17.5,14.44
Ramón Sosa,Nott'ham Forest,PAR,Forward,17.4,14.42
Orel Mangala,Everton,BEL,Midfielder,24.4,14.37
Jan Bednarek,Southampton,POL,Defender,12.9,14.18
Ross Barkley,Aston Villa,ENG,Midfielder,7.3,14.01
Bernd Leno,Fulham,GER,Goalkeeper,13.7,13.7
Tariq Lamptey,Brighton,GHA,Defender,13.6,13.6
Mark Flekken,Brentford,NED,Goalkeeper,13.6,13.6
Hwang Hee-chan,Wolves,KOR,Midfielder,17.6,13.6
David Brooks,Bournemouth,WAL,Forward,13.0,13.58
Conor Chaplin,Ipswich Town,ENG,Midfielder,9.8,13.52
Martin Dúbravka,Newcastle Utd,SVK,Goalkeeper,1.3,13.45
Altay Bayındır,Manchester Utd,TUR,Goalkeeper,13.2,13.2
Taiwo Awoniyi,Nott'ham Forest,NGA,Forward,20.2,12.77
Guido Rodríguez,West Ham,ARG,Midfielder,13.6,12.64
Kieran Tierney,Arsenal,SCO,Defender,7.4,12.28
Nick Pope,Newcastle Utd,ENG,Goalkeeper,11.7,12.23
Christian Nørgaard,Brentford,DEN,Midfielder,14.4,12.22
Ashley Young,Everton,ENG,Defender,1.3,12.17
İlkay Gündoğan,Manchester City,GER,Midfielder,12.1,12.1
Saša Lukić,Fulham,SRB,Midfielder,12.1,12.1
Alex Scott,Bournemouth,ENG,Midfielder,27.6,11.6
Ayden Heaven,Manchester Utd,ENG,Defender,6.7,11.57
Jorge Cuenca,Fulham,ESP,Defender,7.8,11.27
