Player,Team,Nation,Position,Actual_Transfer_Value_M,Predicted_Transfer_Value_M
Bryan Mbeumo,Brentford,CMR,Forward,57.2,49.94
Lewis Miley,Newcastle Utd,ENG,Midfielder,28.5,49.38
Bruno Fernandes,Manchester Utd,POR,Midfielder,54.8,49.28
Rasmus Højlund,Manchester Utd,DEN,Forward,54.9,49.1
Brajan Gruda,Brighton,GER,Forward,29.4,48.71
Manuel Ugarte Ribeiro,Manchester Utd,URU,Midfielder,60.4,48.6
Abdukodir Khusanov,Manchester City,UZB,Defender,48.4,48.4
Mykhailo Mudryk,Chelsea,UKR,Forward,37.8,48.28
Pedro Porro,Tottenham,ESP,Defender,55.9,48.11
Matheus Nunes,Manchester City,POR,Defender,42.3,48.06
Dwight McNeil,Everton,ENG,Midfielder,27.0,47.96
Yankuba Minteh,Brighton,GAM,Forward,42.6,47.91
Julio Enciso,Ipswich Town,PAR,Forward,24.9,47.85
Anthony Gordon,Newcastle Utd,ENG,Forward,49.5,47.81
Brennan Johnson,Tottenham,WAL,Forward,71.3,47.76
Marc Guéhi,Crystal Palace,ENG,Defender,54.2,47.55
Riccardo Calafiori,Arsenal,ITA,Defender,49.3,47.4
Georginio Rutter,Brighton,FRA,Midfielder,41.3,46.95
Eberechi Eze,Crystal Palace,ENG,Midfielder,62.2,46.86
Illia Zabarnyi,Bournemouth,UKR,Defender,58.8,46.41
Youri Tielemans,Aston Villa,BEL,Midfielder,41.5,45.96
Amadou Onana,Aston Villa,BEL,Midfielder,62.1,45.66
Roméo Lavia,Chelsea,BEL,Midfielder,54.6,45.46
Archie Gray,Tottenham,ENG,Defender,58.2,45.33
Mohammed Kudus,West Ham,GHA,Forward,61.7,44.52
Myles Lewis-Skelly,Arsenal,ENG,Defender,34.9,44.5
Ibrahima Konaté,Liverpool,FRA,Defender,57.2,44.31
Kevin Schade,Brentford,GER,Forward,29.7,43.75
Jarrod Bowen,West Ham,ENG,Forward,48.1,43.62
Gabriel Jesus,Arsenal,BRA,Forward,45.6,43.54
Kaoru Mitoma,Brighton,JPN,Forward,50.6,43.52
Rodrigo Bentancur,Tottenham,URU,Midfielder,31.5,43.3
Omari Hutchinson,Ipswich Town,ENG,Midfielder,27.4,43.06
Noussair Mazraoui,Manchester Utd,MAR,Defender,43.0,43.0
Simon Adingra,Brighton,CIV,Forward,34.0,42.69
Bilal El Khannouss,Leicester City,MAR,Midfielder,40.6,42.57
Carlos Soler,West Ham,ESP,Midfielder,23.4,42.57
Matthijs de Ligt,Manchester Utd,NED,Defender,52.2,42.45
Danny Welbeck,Brighton,ENG,Forward,6.0,42.32
Jacob Ramsey,Aston Villa,ENG,Forward,45.8,42.23
Nicolás González,Manchester City,ESP,Midfielder,48.4,42.21
Lewis Hall,Newcastle Utd,ENG,Defender,34.5,42.05
Diogo Dalot,Manchester Utd,POR,Defender,37.4,41.78
Guglielmo Vicario,Tottenham,ITA,Goalkeeper,41.6,41.6
John McGinn,Aston Villa,SCO,Midfielder,22.5,41.35
Joelinton,Newcastle Utd,BRA,Midfielder,47.5,41.23
Sandro Tonali,Newcastle Utd,ITA,Midfielder,52.9,40.73
Mikey Moore,Tottenham,ENG,Forward,23.7,40.35
Joe Willock,Newcastle Utd,ENG,Midfielder,35.8,40.34
Justin Kluivert,Bournemouth,NED,Midfielder,44.8,40.34
Bernardo Silva,Manchester City,POR,Midfielder,50.0,39.97
Jadon Sancho,Chelsea,ENG,Forward,37.7,39.96
Mason Mount,Manchester Utd,ENG,Midfielder,35.5,39.92
Yoane Wissa,Brentford,COD,Forward,31.4,39.86
